iter,tiempo,memoria_MB
0,0.12952899932861328,173.4375
1,0.05794978141784668,173.24609375
2,0.1087493896484375,171.73046875
3,0.06336569786071777,173.8984375
4,0.12696504592895508,174.6484375
5,0.12334728240966797,175.1953125
6,0.12136054039001465,175.07421875
7,0.08541083335876465,173.91796875
8,0.1366558074951172,174.5
9,0.09408807754516602,175.625
10,0.11844348907470703,174.8515625
11,0.15891361236572266,177.0390625
12,0.10291457176208496,176.015625
13,0.11230993270874023,175.35546875
14,0.11605310440063477,176.046875
15,0.13741207122802734,175.9296875
16,0.2577638626098633,176.40625
17,0.2586023807525635,177.03125
18,0.15573787689208984,176.31640625
19,0.22014975547790527,178.40234375
20,0.1667652130126953,176.46484375
21,0.13807415962219238,177.015625
22,0.12574529647827148,175.1640625
23,0.12358498573303223,177.18359375
24,0.13249754905700684,179.42578125
25,0.11977672576904297,176.92578125
26,0.14149928092956543,176.61328125
27,0.11457562446594238,178.4765625
28,0.13628697395324707,176.421875
29,0.1300346851348877,176.56640625
30,0.09278011322021484,179.41796875
31,0.06714487075805664,178.9609375
32,0.10491371154785156,176.6015625
33,0.11580085754394531,178.6328125
34,0.10765409469604492,180.234375
35,0.10539889335632324,180.25390625
36,0.12054729461669922,176.65234375
37,0.12614846229553223,177.1953125
38,0.1465749740600586,177.32421875
39,0.15392661094665527,178.4609375
40,0.11472940444946289,180.2734375
41,0.17225432395935059,176.6015625
42,0.12247300148010254,177.3671875
43,0.18044424057006836,180.91796875
44,0.1692640781402588,179.19921875
45,0.13431310653686523,179.74609375
46,0.13945984840393066,185.41796875
47,0.13263654708862305,181.265625
48,0.15541934967041016,179.26953125
49,0.11455440521240234,182.6953125
50,0.13599801063537598,180.25390625
51,0.1067206859588623,179.94921875
52,0.12856197357177734,182.7265625
53,0.12377715110778809,181.90234375
54,0.13861751556396484,183.16015625
55,0.1336078643798828,183.3125
56,0.19356894493103027,183.578125
57,0.159912109375,181.91015625
58,0.15293240547180176,183.44921875
59,0.16722965240478516,181.91796875
60,0.12346529960632324,182.85546875
61,0.10132050514221191,184.37109375
62,0.14885187149047852,182.94921875
63,0.0801851749420166,179.9765625
64,0.13289213180541992,182.0625
65,0.14896202087402344,180.19140625
66,0.18679594993591309,182.31640625
67,0.1352684497833252,183.33984375
68,0.14221715927124023,182.8984375
69,0.14591622352600098,183.94921875
70,0.18005585670471191,183.58984375
71,0.15204882621765137,183.46484375
72,0.13867926597595215,183.078125
73,0.09714150428771973,183.30859375
74,0.11745023727416992,182.16015625
75,0.18115615844726562,186.03515625
76,0.16724014282226562,183.578125
77,0.1436312198638916,184.78515625
78,0.11800885200500488,184.08203125
79,0.11674261093139648,185.25390625
80,0.13199400901794434,184.5546875
81,0.12412524223327637,186.91015625
82,0.10193252563476562,183.7109375
83,0.14040565490722656,183.56640625
84,0.10589599609375,184.64453125
85,0.15565752983093262,185.83203125
86,0.10765457153320312,183.21875
87,0.12224936485290527,186.34765625
88,0.18314623832702637,185.59375
89,0.15927791595458984,186.74609375
90,0.10974907875061035,185.015625
91,0.14954304695129395,187.22265625
92,0.16037964820861816,185.65625
93,0.09417152404785156,185.16796875
94,0.15450811386108398,186.109375
95,0.12442970275878906,185.0703125
96,0.16152238845825195,184.5078125
97,0.13901329040527344,185.859375
98,0.14494776725769043,186.15625
99,0.11712169647216797,185.2265625
100,0.1334378719329834,184.296875
101,0.20197343826293945,185.00390625
102,0.13816452026367188,186.5078125
103,0.11933398246765137,185.1875
104,0.13330078125,185.80859375
105,0.14692354202270508,186.84375
106,0.16515398025512695,185.6171875
107,0.14372611045837402,187.1953125
108,0.12278151512145996,185.72265625
109,0.07448506355285645,187.96875
110,0.1427147388458252,187.38671875
111,0.12339544296264648,188.7578125
112,0.11353516578674316,187.21875
113,0.14011025428771973,187.48828125
114,0.10626339912414551,187.33203125
115,0.15238332748413086,189.3125
116,0.12723016738891602,197.1796875
117,0.15019845962524414,190.3046875
118,0.10296010971069336,194.296875
119,0.15134477615356445,190.4765625
120,0.06614208221435547,193.37890625
121,0.1258237361907959,196.3359375
122,0.1218416690826416,196.71484375
123,0.15246343612670898,198.20703125
124,0.175750732421875,198.18359375
125,0.14266347885131836,189.546875
126,0.14795970916748047,196.0078125
127,0.11464524269104004,191.9765625
128,0.1785881519317627,197.12109375
129,0.09443235397338867,196.34765625
130,0.13246822357177734,199.328125
131,0.07940149307250977,193.11328125
132,0.14190959930419922,197.79296875
133,0.15425920486450195,191.80859375
134,0.08551692962646484,195.6953125
135,0.13429760932922363,190.75
136,0.12316560745239258,197.93359375
137,0.160508394241333,190.28515625
138,0.13574767112731934,196.8828125
139,0.09018564224243164,197.99609375
140,0.13545751571655273,198.7734375
141,0.16124176979064941,192.86328125
142,0.13776707649230957,190.94140625
