file,width,height,size
1.jpg,708.0,827.0,585516.0
4.jpg,820.0,1023.0,838860.0
5.jpg,896.0,1074.0,962304.0
6.jpg,1200.0,818.0,981600.0
7.jpg,875.0,950.0,831250.0
8.jpg,637.0,1060.0,675220.0
13.jpg,900.0,1328.0,1195200.0
15.jpg,1156.0,761.0,879716.0
17.jpg,939.0,820.0,769980.0
18.jpg,820.0,907.0,743740.0
19.jpg,1023.0,350.0,358050.0
20.jpg,1137.0,850.0,966450.0
21.jpg,835.0,650.0,542750.0
22.jpg,471.0,850.0,400350.0
23.jpg,800.0,1133.0,906400.0
27.jpg,1122.0,1000.0,1122000.0
30.jpg,1600.0,1005.0,1608000.0
31.jpg,1253.0,873.0,1093869.0
32.jpg,1200.0,825.0,990000.0
51.jpg,1331.0,900.0,1197900.0
52.jpg,1204.0,900.0,1083600.0
53.jpg,900.0,1098.0,988200.0
54.jpg,1021.0,1200.0,1225200.0
55.jpg,1225.0,850.0,1041250.0
56.jpg,1313.0,800.0,1050400.0
57.jpg,1354.0,950.0,1286300.0
58.jpg,1000.0,1251.0,1251000.0
59.jpg,1005.0,1000.0,1005000.0
60.jpg,777.0,1200.0,932400.0
61.jpg,900.0,1142.0,1027800.0
62.jpg,865.0,1075.0,929875.0
64.jpg,1255.0,817.0,1025335.0
66.jpg,1169.0,1500.0,1753500.0
67.jpg,1094.0,746.0,816124.0
68.jpg,900.0,1065.0,958500.0
75.jpg,1000.0,1196.0,1196000.0
76.jpg,830.0,1035.0,859050.0
77.jpg,818.0,1080.0,883440.0
78.jpg,1046.0,824.0,861904.0
79.jpg,911.0,800.0,728800.0
80.jpg,1306.0,1000.0,1306000.0
81.jpg,858.0,1087.0,932646.0
82.jpg,1025.0,770.0,789250.0
83.jpg,1053.0,1300.0,1368900.0
84.jpg,732.0,900.0,658800.0
85.jpg,750.0,972.0,729000.0
86.jpg,1000.0,1208.0,1208000.0
87.jpg,700.0,877.0,613900.0
88.jpg,700.0,882.0,617400.0
89.jpg,1071.0,770.0,824670.0
90.jpg,1294.0,1000.0,1294000.0
91.jpg,909.0,700.0,636300.0
92.jpg,1072.0,770.0,825440.0
93.jpg,900.0,1090.0,981000.0
94.jpg,830.0,1050.0,871500.0
96.jpg,1041.0,800.0,832800.0
98.jpg,930.0,674.0,626820.0
99.jpg,1527.0,1000.0,1527000.0
100.jpg,1126.0,743.0,836618.0
101.jpg,730.0,1164.0,849720.0
102.jpg,700.0,1424.0,996800.0
103.jpg,1444.0,700.0,1010800.0
104.jpg,522.0,1101.0,574722.0
105.jpg,773.0,720.0,556560.0
108.jpg,1368.0,640.0,875520.0
109.jpg,919.0,917.0,842723.0
110.jpg,1246.0,900.0,1121400.0
111.jpg,1191.0,821.0,977811.0
112.jpg,1008.0,611.0,615888.0
113.jpg,1080.0,1000.0,1080000.0
114.jpg,369.0,1000.0,369000.0
115.jpg,377.0,1000.0,377000.0
116.jpg,760.0,1090.0,828400.0
117.jpg,1092.0,821.0,896532.0
118.jpg,1128.0,768.0,866304.0
119.jpg,820.0,720.0,590400.0
154.jpg,1300.0,858.0,1115400.0
157.jpg,907.0,1255.0,1138285.0
159.jpg,1017.0,822.0,835974.0
162.jpg,850.0,1061.0,901850.0
165.jpg,750.0,744.0,558000.0
166.jpg,750.0,1184.0,888000.0
167.jpg,750.0,741.0,555750.0
168.jpg,1148.0,900.0,1033200.0
169.jpg,750.0,750.0,562500.0
170.jpg,1500.0,784.0,1176000.0
171.jpg,1200.0,1135.0,1362000.0
172.jpg,650.0,565.0,367250.0
174.jpg,1059.0,770.0,815430.0
175.jpg,1300.0,1040.0,1352000.0
176.jpg,924.0,1200.0,1108800.0
177.jpg,839.0,1073.0,900247.0
178.jpg,604.0,846.0,510984.0
179.jpg,926.0,626.0,579676.0
180.jpg,1400.0,1243.0,1740200.0
181.jpg,1018.0,800.0,814400.0
182.jpg,1008.0,800.0,806400.0
183.jpg,1274.0,1200.0,1528800.0
184.jpg,912.0,1500.0,1368000.0
185.jpg,1624.0,1000.0,1624000.0
186.jpg,1566.0,900.0,1409400.0
187.jpg,1006.0,1300.0,1307800.0
188.jpg,1006.0,1300.0,1307800.0
189.jpg,1054.0,1300.0,1370200.0
190.jpg,1011.0,1300.0,1314300.0
192.jpg,1895.0,900.0,1705500.0
193.jpg,850.0,1309.0,1112650.0
194.jpg,900.0,1167.0,1050300.0
195.jpg,936.0,700.0,655200.0
196.jpg,1541.0,900.0,1386900.0
201.jpg,800.0,1435.0,1148000.0
220.jpg,942.0,934.0,879828.0
221.jpg,854.0,1100.0,939400.0
222.jpg,825.0,1200.0,990000.0
223.jpg,950.0,1494.0,1419300.0
224.jpg,694.0,318.0,220692.0
225.jpg,764.0,316.0,241424.0
226.jpg,900.0,420.0,378000.0
227.jpg,800.0,1003.0,802400.0
228.jpg,1082.0,680.0,735760.0
229.jpg,1111.0,650.0,722150.0
230.jpg,820.0,1018.0,834760.0
239.jpg,1125.0,1400.0,1575000.0
240.jpg,800.0,941.0,752800.0
245.jpg,1253.0,1400.0,1754200.0
276.jpg,950.0,1058.0,1005100.0
287.jpg,950.0,982.0,932900.0
288.jpg,900.0,1167.0,1050300.0
289.jpg,1200.0,1124.0,1348800.0
290.jpg,1200.0,1115.0,1338000.0
291.jpg,1005.0,1300.0,1306500.0
293.jpg,650.0,922.0,599300.0
294.jpg,1011.0,1600.0,1617600.0
295.jpg,1133.0,1300.0,1472900.0
296.jpg,1100.0,1502.0,1652200.0
297.jpg,1229.0,750.0,921750.0
298.jpg,602.0,854.0,514108.0
300.jpg,800.0,1062.0,849600.0
301.jpg,600.0,603.0,361800.0
